 ,Unit,Question,Students,Mark
153,300500,11,62,23.70967741935484
154,184775,1,13,22.307692307692307
155,184775,2,13,13.846153846153847
156,184775,3,13,16.923076923076923
157,184775,4,13,25.384615384615383
158,184775,5,13,26.153846153846153
159,184775,6,13,17.692307692307693
160,184775,7,13,20.0
161,184775,8,13,16.153846153846153
162,184775,9,13,26.153846153846153
163,184775,10,13,24.615384615384617
164,184775,11,13,22.307692307692307
165,868846,1,25,21.6
166,868846,2,25,22.4
167,868846,3,25,20.8
168,868846,4,25,26.4
169,868846,5,25,24.0
170,868846,6,25,23.2
171,868846,7,25,22.4
172,868846,8,23,19.130434782608695
173,868846,9,25,25.2
174,868846,10,25,26.4
175,868846,11,25,22.0
176,706982,1,124,19.193548387096776
177,706982,2,124,22.741935483870968
178,706982,3,124,21.29032258064516
179,706982,4,124,23.225806451612904
180,706982,5,124,25.806451612903224
181,706982,6,124,21.129032258064516
182,706982,7,124,21.370967741935484
183,706982,8,120,18.666666666666668
184,706982,9,124,23.225806451612904
185,706982,10,124,24.838709677419356
186,706982,11,124,24.919354838709676
187,797488,1,120,16.0
188,797488,2,120,21.333333333333332
189,797488,3,120,16.416666666666668
190,797488,4,120,19.916666666666668
191,797488,5,120,23.666666666666668
192,797488,6,120,17.25
193,797488,7,120,15.916666666666666
194,797488,8,118,17.796610169491526
195,797488,9,120,20.333333333333332
196,797488,10,120,22.083333333333332
197,797488,11,120,24.166666666666668
198,792609,1,36,22.5
199,792609,2,36,21.38888888888889
200,792609,3,36,20.833333333333332
201,792609,4,36,23.055555555555557
202,792609,5,36,27.5
203,792609,6,36,19.72222222222222
204,792609,7,36,22.77777777777778
205,792609,8,35,19.714285714285715
206,792609,9,36,25.0
207,792609,10,36,26.11111111111111
208,792609,11,36,18.61111111111111
209,790481,1,29,24.82758620689655
210,790481,2,29,24.137931034482758
211,790481,3,29,21.724137931034484
212,790481,4,29,23.79310344827586
213,790481,5,29,25.862068965517242
214,790481,6,29,21.379310344827587
215,790481,7,29,20.344827586206897
216,790481,8,29,23.79310344827586
217,790481,9,29,25.517241379310345
218,790481,10,29,24.137931034482758
219,790481,11,29,23.79310344827586
220,647573,1,36,22.22222222222222
221,647573,2,36,25.0
222,647573,3,36,23.88888888888889
223,647573,4,36,23.88888888888889
224,647573,5,36,26.11111111111111
225,647573,6,36,20.27777777777778
226,647573,7,36,21.944444444444443
227,647573,8,36,24.444444444444443
228,647573,9,36,25.555555555555557
229,647573,10,36,26.11111111111111
230,647573,11,36,23.88888888888889
231,784849,1,16,25.0
232,784849,2,16,26.25
233,784849,3,16,23.75
234,784849,4,16,26.875
235,784849,5,16,25.625
236,784849,6,16,25.0
237,784849,7,16,24.375
238,784849,8,16,20.625
239,784849,9,16,24.375
240,784849,10,16,25.625
241,784849,11,16,23.125
242,276512,1,88,19.318181818181817
243,276512,2,88,22.84090909090909
244,276512,3,88,18.40909090909091
245,276512,4,88,25.227272727272727
246,276512,5,88,25.90909090909091
247,276512,6,88,23.068181818181817
248,276512,7,88,24.204545454545453
249,276512,8,88,15.568181818181818
250,276512,9,88,24.204545454545453
251,276512,10,88,25.681818181818183
252,276512,11,88,23.863636363636363
253,115531,1,16,23.125
254,115531,2,16,23.125
255,115531,3,16,19.375
256,115531,4,16,26.25
257,115531,5,16,24.375
258,115531,6,16,21.25
259,115531,7,16,20.625
260,115531,8,15,17.333333333333332
261,115531,9,16,23.125
262,115531,10,16,25.625
263,115531,11,16,23.75
264,989567,1,7,22.857142857142858
265,989567,2,7,21.428571428571427
266,989567,3,7,24.285714285714285
267,989567,4,7,28.571428571428573
268,989567,5,7,30.0
269,989567,6,7,28.571428571428573
270,989567,7,7,24.285714285714285
271,989567,8,7,20.0
272,989567,9,7,27.142857142857142
273,989567,10,7,28.571428571428573
274,989567,11,7,25.714285714285715
275,796944,1,7,25.714285714285715
276,796944,2,7,8.571428571428571
277,796944,3,7,24.285714285714285
278,796944,4,7,27.142857142857142
279,796944,5,7,30.0
280,796944,6,7,18.571428571428573
281,796944,7,7,21.428571428571427
282,796944,8,7,22.857142857142858
283,796944,9,7,25.714285714285715
284,796944,10,7,30.0
285,796944,11,7,25.714285714285715
286,474754,1,34,22.941176470588236
287,474754,2,34,24.11764705882353
288,474754,3,34,24.11764705882353
289,474754,4,34,26.176470588235293
290,474754,5,34,26.470588235294116
291,474754,6,34,23.823529411764707
292,474754,7,34,25.294117647058822
293,474754,8,34,24.11764705882353
294,474754,9,34,26.176470588235293
295,474754,10,34,27.058823529411764
296,474754,11,34,24.41176470588235
297,562380,1,44,24.318181818181817
298,562380,2,44,19.772727272727273
299,562380,3,44,16.136363636363637
300,562380,4,44,23.636363636363637
301,562380,5,44,22.272727272727273
302,562380,6,44,20.0
303,562380,7,44,16.818181818181817
304,562380,8,43,18.6046511627907
305,562380,9,44,22.727272727272727
306,562380,10,44,25.0
307,562380,11,44,19.545454545454547
308,554211,1,26,18.846153846153847
309,554211,2,26,17.692307692307693
310,554211,3,26,16.153846153846153
311,554211,4,26,23.846153846153847
312,554211,5,26,23.846153846153847
313,554211,6,26,22.307692307692307
314,554211,7,26,22.692307692307693
315,554211,8,26,18.076923076923077
316,554211,9,26,23.076923076923077
317,554211,10,26,18.46153846153846
318,554211,11,26,25.384615384615383
319,233554,1,24,18.333333333333332
320,233554,2,24,19.166666666666668
321,233554,3,24,17.916666666666668
322,233554,4,24,24.583333333333332
323,233554,5,24,22.083333333333332
324,233554,6,24,21.666666666666668
325,233554,7,24,21.25
326,233554,8,24,17.083333333333332
327,233554,9,24,23.333333333333332
328,233554,10,24,20.833333333333332
329,233554,11,24,25.0
330,825585,1,7,27.142857142857142
331,825585,2,7,28.571428571428573
332,825585,3,7,28.571428571428573
333,825585,4,7,28.571428571428573
334,825585,5,7,28.571428571428573
335,825585,6,7,28.571428571428573
336,825585,7,7,28.571428571428573
337,825585,8,7,25.714285714285715
338,825585,9,7,27.142857142857142
339,825585,10,7,28.571428571428573
340,825585,11,7,27.142857142857142
341,322813,1,8,27.5
342,322813,2,8,21.25
343,322813,3,8,23.75
344,322813,4,8,27.5
345,322813,5,8,28.75
346,322813,6,8,18.75
347,322813,7,8,22.5
348,322813,8,8,23.75
349,322813,9,8,25.0
350,322813,10,8,26.25
351,322813,11,8,25.0
352,845007,1,15,24.0
353,845007,2,15,20.666666666666668
354,845007,3,15,24.0
355,845007,4,15,26.666666666666668
356,845007,5,15,27.333333333333332
357,845007,6,15,28.0
358,845007,7,15,27.333333333333332
359,845007,8,15,26.0
360,845007,9,15,26.0
361,845007,10,15,26.666666666666668
362,845007,11,15,28.0
363,613804,1,83,19.63855421686747
364,613804,2,83,23.6144578313253
365,613804,3,83,22.650602409638555
366,613804,4,83,25.903614457831324
367,613804,5,83,26.3855421686747
368,613804,6,83,24.93975903614458
369,613804,7,83,24.57831325301205
370,613804,8,83,23.97590361445783
371,613804,9,83,25.301204819277107
372,613804,10,83,26.746987951807228
373,613804,11,83,23.012048192771083
374,261997,1,14,21.428571428571427
375,261997,2,14,22.857142857142858
376,261997,3,14,20.0
377,261997,4,14,23.571428571428573
378,261997,5,14,28.571428571428573
379,261997,6,14,17.857142857142858
380,261997,7,14,17.857142857142858
381,261997,8,13,25.384615384615383
382,261997,9,14,23.571428571428573
383,261997,10,14,25.714285714285715
384,261997,11,14,23.571428571428573
385,980971,1,24,21.25
386,980971,2,24,22.083333333333332
387,980971,3,24,26.25
388,980971,4,24,26.666666666666668
389,980971,5,24,27.5
390,980971,6,24,22.916666666666668
391,980971,7,24,21.666666666666668
392,980971,8,24,26.666666666666668
393,980971,9,24,27.916666666666668
394,980971,10,24,26.25
395,980971,11,24,25.416666666666668
396,232137,1,12,23.333333333333332
397,232137,2,12,23.333333333333332
398,232137,3,12,20.0
399,232137,4,12,20.0
400,232137,5,12,15.833333333333334
401,232137,6,12,19.166666666666668
402,232137,7,12,20.0
403,232137,8,12,22.5
404,232137,9,12,22.5
405,232137,10,12,24.166666666666668
406,232137,11,12,23.333333333333332
407,465276,1,74,20.27027027027027
408,465276,2,74,22.972972972972972
409,465276,3,74,21.216216216216218
410,465276,4,74,23.64864864864865
411,465276,5,74,27.7027027027027
412,465276,6,74,17.43243243243243
413,465276,7,74,19.864864864864863
414,465276,8,74,20.81081081081081
415,465276,9,74,24.054054054054053
416,465276,10,74,23.10810810810811
417,465276,11,74,23.783783783783782
418,782229,1,18,22.77777777777778
419,782229,2,18,25.555555555555557
420,782229,3,18,20.0
421,782229,4,18,26.666666666666668
422,782229,5,18,23.333333333333332
423,782229,6,18,21.11111111111111
424,782229,7,18,22.22222222222222
425,782229,8,17,18.235294117647058
426,782229,9,18,24.444444444444443
427,782229,10,18,25.555555555555557
428,782229,11,18,23.88888888888889
